length: 2.0,length: 3.0,length: 4.0,length: 5.0,length: 6.0,length: 7.0,length: 8.0,length: 9.0,length: 10.0,length: 11.0
2,1,5,9,104,4023,5087,5150,5084,5081
1,1,7,16,243,4810,5166,5058,5066,5235
0,0,3,5,142,5052,5238,5261,5140,5156
0,1,9,7,27,5039,5152,5211,5088,5116
1,1,3,5,139,5083,5208,5223,5054,5124
0,0,2,5,47,2312,5148,5167,5115,5154
0,0,3,4,198,4702,5171,5211,5094,5190
0,0,2,7,75,3039,5177,5101,5137,5042
1,1,2,48,97,2425,5059,5238,5052,5059
0,1,2,1,80,5142,5195,5217,5100,4179
0,0,2,2,115,5059,5124,5140,5127,5207
0,0,8,3,352,2520,5124,5094,5123,5209
1,1,6,3,54,4780,5183,5125,5128,4435
1,0,5,8,147,5121,4780,5213,5143,5184
0,0,4,2,65,5079,5135,5073,5113,5182
0,1,1,1,272,5061,5172,5237,5082,5163
0,0,4,3,96,5109,4128,5097,5089,5189
0,1,4,1,424,4127,5173,5255,5137,5078
0,0,5,8,70,5085,5155,5163,5159,5149
0,0,2,2,343,2248,5157,5241,5138,5082
0,1,0,7,350,2233,5139,5098,5057,5200
1,1,2,1,103,5119,5161,5085,5092,5155
1,1,2,5,88,4690,5218,5130,5131,5098
0,1,2,3,78,5058,5216,5265,5126,5096
0,0,2,8,77,5079,5189,5118,5054,5185
0,1,2,2,421,2496,5201,5063,5082,5131
0,1,2,1,51,5079,5229,5086,5050,5091
0,1,2,8,104,5103,5161,5131,5073,5203
0,0,1,1,109,5097,5176,5072,5102,5136
0,0,1,8,121,2546,5100,5243,5096,5094
1,1,1,3,42,2519,4132,5097,5095,5098
0,1,3,7,347,5087,5192,5060,5093,5117
0,0,0,2,132,1390,5184,5074,5107,4445
0,0,2,3,29,5117,5201,5096,5119,5144
0,1,3,3,133,5098,5192,5112,5131,5206
0,1,2,4,171,5065,5136,5247,5106,5105
1,1,3,3,369,2054,5163,5118,5105,5130
0,0,2,2,90,5063,4823,4879,5073,5126
0,0,1,9,83,4239,5171,5251,5062,5097
0,1,0,2,106,1384,5219,5233,5112,5212
0,1,1,3,116,1505,5148,5163,5088,5168
0,1,2,6,356,3002,5099,5087,5117,5092
1,0,2,7,84,5088,5162,5109,5101,5109
0,1,0,2,94,4648,5165,5213,5082,5221
0,0,2,9,107,5096,5161,5122,5081,5212
0,1,1,1,115,2619,4169,5274,5123,5151
0,0,2,4,149,5130,5176,5080,5137,5139
1,0,1,4,74,4320,5176,5118,5131,5109
0,1,0,34,261,5064,5247,5179,5100,5251
0,1,1,8,143,2520,5205,5127,5106,5161
0,0,1,9,356,4812,5206,5235,5099,5119
0,0,2,2,338,5066,5084,5109,5106,5193
0,0,3,7,129,2978,5175,5171,5112,5096
0,1,2,3,133,2607,5154,5176,5071,4379
0,0,1,2,72,5066,5151,5032,5112,5206
0,0,0,33,93,5124,5222,5111,5132,5143
0,1,2,5,132,5079,5111,5263,5084,5154
1,0,1,3,101,5083,5213,5201,5077,5116
0,1,2,8,44,5096,5126,5279,5132,5187
0,1,1,3,130,4644,4238,5102,5074,5150
0,1,2,8,37,4906,5174,5204,5092,5215
0,0,0,2,354,2844,5156,5076,5126,5194
0,0,0,4,26,2504,5146,5199,5095,5175
0,1,1,12,138,5077,5224,5197,5148,5222
0,1,1,3,1375,2948,5134,5074,5110,5114
0,0,1,1,48,1363,4461,5111,5130,5175
1,1,3,4,192,2600,5182,5135,5093,5200
1,0,2,2,107,5104,4233,5212,5076,5176
1,1,2,1,139,5097,5132,5167,5044,5062
0,0,0,1,370,2964,5160,5133,5070,5108
0,1,3,2,107,4052,5278,5237,5102,5229
0,1,2,3,190,5094,5197,5035,5096,5111
0,0,1,8,378,5048,5217,5087,5099,0
0,0,2,3,39,5106,5139,5081,5122,5076
0,1,1,1,139,2363,5203,5076,5134,5237
0,0,0,8,42,5097,4610,5232,5115,5170
0,1,1,3,368,5079,5130,5159,5047,5122
0,1,0,2,343,2713,5215,5498,5077,5230
0,1,1,3,91,5094,5208,5220,5098,5201
0,1,0,2,101,2229,5093,5053,5091,5160
0,0,1,5,27,5076,5206,5120,5046,5186
0,0,0,4,97,5073,5180,5377,5115,5088
0,1,1,1,42,5062,5153,5214,5108,5236
0,0,0,3,125,5063,5130,5082,5128,5096
0,1,1,2,380,2481,5163,5052,5064,5098
0,0,1,4,47,4881,5116,5144,5098,5120
1,1,1,7,429,5096,5180,4177,5117,5168
0,1,0,2,135,5104,5126,4063,5099,5136
0,0,1,2,128,2231,5137,5246,5078,5102
0,0,0,3,40,2147,5175,5185,5116,5166
0,0,1,7,372,4444,5157,5294,5099,5206
0,0,1,9,406,5033,5126,5137,5108,5169
1,0,0,7,102,5054,4136,5063,5153,5150
0,0,0,8,113,5097,5099,5139,5117,5167
0,1,0,4,105,5072,5176,5213,5072,5190
0,0,0,3,124,5112,5161,5195,5140,5125
0,1,0,1,363,5073,5164,4035,5071,5144
0,0,0,2,143,5075,5227,5090,5078,5187
1,0,2,2,149,5067,5165,5044,5086,5194
0,1,1,10,73,2446,4576,5103,5049,5110
