length: 2.0,length: 3.0,length: 4.0,length: 5.0,length: 6.0,length: 7.0,length: 8.0,length: 9.0,length: 10.0,length: 11.0
1,0,2,5,72,4046,5158,5078,5087,5140
1,1,1,15,232,5086,5044,5051,5081,5187
2,0,1,4,132,4064,5138,5058,5116,5207
2,0,2,34,27,5094,5390,5039,5108,5182
1,0,0,5,131,5069,5043,5056,5103,5100
2,0,1,3,39,2576,5167,5042,5071,5116
2,0,0,4,184,4690,5233,5032,5079,5224
2,0,0,6,73,3283,5159,5027,5110,5168
2,0,1,7,98,2636,5117,5064,5093,5178
2,1,0,1,78,5079,5132,5038,5109,4124
1,1,1,3,98,5095,5192,5068,5118,5123
1,0,1,2,349,2785,5112,5056,5076,5156
1,0,1,2,45,5034,5088,5226,5065,4476
1,0,2,7,126,5074,4621,5050,5050,5047
1,0,38,2,49,5067,5174,5040,5079,5112
1,0,1,2,261,5089,5129,5035,5114,5124
0,0,1,3,76,5069,4118,5236,5097,5161
0,1,1,1,515,4100,5111,5066,5108,5163
0,1,2,6,66,5042,5167,5057,5109,5217
1,0,2,3,359,2513,5216,5046,5090,5170
1,0,1,2,354,2500,5168,5046,5053,5155
1,0,1,1,99,5085,5157,5188,5081,5138
1,0,1,4,88,4887,5119,5052,5149,5201
1,1,2,2,77,5092,5111,5035,5079,5137
0,1,1,7,75,5030,5177,5205,5112,5190
0,0,2,2,502,2830,5142,5038,5106,5166
0,0,1,1,51,5081,5157,5207,5073,5180
1,0,2,8,107,5055,5178,5067,5079,5153
0,1,1,1,107,5094,5089,5069,5094,5155
1,0,0,7,108,2770,5154,5034,5095,5184
0,0,0,2,42,2740,4110,4999,5068,5187
1,0,1,8,356,5073,5155,5049,5093,5159
0,1,0,2,137,1679,5178,5041,5106,4457
0,0,1,2,40,5052,5139,5035,5102,5129
0,0,1,3,138,5057,5154,5063,5103,5130
0,0,1,3,172,5113,5133,5063,5128,5151
1,0,1,2,388,2227,5112,5232,5069,5192
0,1,1,2,96,5098,4746,4736,5097,5118
1,0,0,35,82,4563,5104,5050,5087,4178
0,0,0,1,103,1661,5104,5048,5057,5203
0,0,1,2,100,1788,5178,5054,5076,5180
1,0,1,5,352,3247,5096,5053,5061,5202
0,0,0,7,86,5098,5174,5040,5096,5170
1,0,0,2,91,4632,5123,5033,5070,5097
0,0,1,7,102,5127,5183,5037,5082,5182
0,0,0,1,102,2879,4117,5038,5073,5162
0,1,1,5,134,5089,5091,5049,5071,5168
0,0,0,2,82,4602,5154,5041,5074,5117
0,0,0,4,243,5061,5241,5028,5086,5177
0,1,0,6,132,2791,5158,5032,5114,5203
1,1,0,9,351,5057,5140,5269,5054,5181
1,0,1,2,344,5075,5117,5054,5065,5251
0,0,1,5,130,3261,5115,5034,5117,4123
0,0,1,2,137,2891,5132,5030,5065,4311
0,1,0,2,71,5063,5123,5012,5143,5196
0,0,1,6,93,5086,5139,5049,5060,5182
0,0,0,4,136,5067,5185,5068,5068,5170
0,0,0,3,106,5059,5101,4056,5066,5212
0,0,1,8,43,5093,5085,5045,5126,5179
0,0,1,3,108,4908,4257,5039,5101,5133
1,0,0,7,35,5081,5122,5063,5071,5188
1,1,0,2,363,4062,5153,5051,5056,5187
0,0,0,3,28,2713,5179,5182,5120,5144
0,0,0,10,125,5062,5246,4050,5117,5196
0,0,0,2,316,3218,5184,5043,5114,5182
0,1,0,1,60,1612,4360,5026,5092,5251
0,0,1,3,190,2855,5093,5041,5108,5210
0,0,1,2,100,5097,4138,5067,5106,4129
0,0,0,1,141,5046,5102,5212,5087,5149
0,1,0,1,388,3199,5207,5083,5103,5212
0,0,1,2,111,4325,5254,5036,5131,5137
0,1,1,3,186,5070,5154,5243,5061,5160
0,0,0,8,392,5080,4079,5027,5120,0
1,0,0,2,50,5121,5147,5057,5075,5196
1,1,0,1,134,2603,5218,5059,5105,5242
1,1,0,7,59,5119,4593,5066,5076,5099
1,0,0,3,390,5129,5099,5052,5115,5141
1,0,0,1,349,3004,5228,5190,5118,5141
0,0,1,3,106,5082,5156,5043,5086,5160
0,0,1,2,93,2485,5222,5061,5069,5202
0,1,0,4,29,5077,5184,5055,5101,5181
1,1,1,4,101,5099,5162,5247,5091,5107
1,0,1,0,44,5061,5185,5033,5134,5239
0,1,0,3,108,5052,5114,5049,5071,4124
0,0,0,1,379,2735,5129,5243,5090,5215
0,0,0,4,42,4845,5143,5051,5105,5122
0,0,0,6,508,5048,5089,4181,5087,5220
0,0,1,2,146,5062,5176,4070,5082,5194
1,0,0,2,127,2498,5151,5038,5074,5204
1,0,0,2,44,2397,5110,5063,5091,5145
0,0,1,10,391,4399,5112,4097,5128,5103
0,0,1,8,498,5111,5209,5094,5068,5172
0,0,0,6,98,5074,4062,5040,5095,5224
0,0,0,7,114,5058,5200,5175,5115,5154
1,1,0,4,101,5056,5123,5045,5066,5215
1,0,0,3,107,5111,5113,5040,5048,5187
0,0,0,1,355,5110,5073,4054,5089,5161
0,0,0,1,126,5134,5205,5082,5094,5196
0,0,1,2,141,5091,5143,5052,5121,5159
0,0,1,10,82,2731,4566,5056,5093,5112
