length: 2.0,length: 3.0,length: 4.0,length: 5.0,length: 6.0
2,0,2,5,69
2,0,0,9,207
2,0,1,10,95
2,0,0,6,100
4,0,1,3,218
2,0,2,13,314
1,0,1,9,311
1,0,1,12,95
4,0,1,3,184
1,0,1,8,62
1,0,0,492,325
1,0,1,3,315
1,0,1,2,234
0,0,0,7,103
1,0,0,3,86
0,1,0,2,23
1,1,1,477,192
0,0,0,3,97
1,1,3,4,98
0,0,1,7,82
1,0,1,7,67
0,0,1,4,97
0,1,1,2,112
1,0,1,2,129
1,1,0,5,355
0,1,0,10,129
0,0,1,2,339
1,0,1,5,23
0,0,1,7,47
0,0,0,8,97
1,0,0,2,352
1,0,0,7,347
0,0,0,7,85
0,0,1,5,92
0,1,0,7,60
0,0,1,3,247
0,1,0,6,104
0,0,1,1,92
0,1,1,2,122
1,0,0,1,243
1,0,1,7,21
0,0,1,6,38
0,0,0,2,5036
0,0,0,6,247
0,0,1,2,66
0,0,0,1,238
1,1,1,2,21
1,0,1,6,75
1,0,0,483,352
0,0,0,5,104
0,0,0,3,171
1,0,0,2,339
0,0,0,4,161
0,1,0,7,62
1,0,0,8,105
0,1,0,3,66
0,1,0,3,113
0,0,0,7,67
0,0,1,4,289
1,0,0,1,38
0,0,1,1,36
0,1,1,2,213
1,0,0,0,97
0,0,0,9,119
0,0,0,3,73
0,0,0,2,213
0,1,1,5,37
1,1,0,477,95
0,0,0,2,293
0,0,1,6,3262
1,1,1,7,70
0,0,0,1,174
1,0,1,5,98
0,0,0,0,62
1,0,0,5,29
0,0,0,4,106
0,1,0,5,308
1,0,0,2,103
0,0,0,3,103
1,0,0,7,76
0,1,1,4,40
0,0,0,490,315
1,0,0,6,225
0,0,1,2,98
0,0,1,2,67
1,1,0,11,199
0,0,0,2,130
0,0,1,7,50
0,1,1,4,342
1,0,1,4,311
0,0,0,2,103
0,0,0,1,123
0,1,0,5,102
1,0,0,3,105
1,0,1,2,130
0,1,0,1,303
0,0,0,5,158
1,0,0,7,122
0,0,0,6,186
0,0,0,4,341
