Time,Solutions,Best Solution
131,4,K0-K2-K1+K3
19,6,K0-K2+K1+K3
3,1,K0/K1/K2*K3
2,1,K1/K2*K0*K3
2,1,K0/K1*K2*K3
2,6,K3+K0*K1*K2
3,1,K0-K1/K2*K3
3,2,K0/K1+K3*K2
11,6,K2-K3+K0+K1
5,4,K0*K1-K3*K2
2,2,K2/K3+K1*K0
3,4,K0*K1-K3*K2
3,1,K0+K1/K2*K3
8,2,K3-K1/K2+K0
3,2,K2-K3+K0*K1
2,1,K0-K1/K2*K3
6,2,K0+K3+K1/K2
6,2,K1*K0-K2/K3
3,2,K2-K3+K1*K0
9,4,K2-K1-K3+K0
12,1,K0/K1-K2+K3
4,4,K0/K1*K2/K3
4,2,K3+K0/K1/K2
8,1,K0/K1-K2+K3
3,2,K2/K3+K0*K1
7,1,K0/K1-K2/K3
3,4,K1*K0-K2*K3
5,1,K0-K1-K2/K3
8,6,K2-K3+K0+K1
510,7,K0-K1/K2-K3/K0*K0
2,24,K0*K1*K3*K2
2,2,K2-K3+K1*K0
4,1,K0/K1*K2/K3
8,1,K0/K1-K2+K3
2,1,K3+K0/K2*K1
9,2,K0*K1/K2-K3
1,2,K1/K3*K2*K0
9,2,K0/K1-K3-K2
8,1,K0/K2*K1-K3
3,4,K0*K1-K2*K3
4,2,K0-K1-K2*K3
5,2,K0+K1-K2/K3
3,4,K0+K1+K2*K3
2,6,K0+K1*K3*K2
10,4,K1*K0-K3-K2
2,8,K1*K0+K3*K2
7,2,K3-K1/K2+K0
5,2,K0/K2/K1/K3
1,24,K2*K0*K3*K1
9,1,K0/K1-K2+K3
2,4,K0+K1+K3*K2
2,1,K0/K3/K1*K2
1,24,K1*K3*K2*K0
9,4,K0*K1-K3-K2
5,1,K0/K1-K2/K3
5,1,K0/K1-K2/K3
2,6,K0+K2*K3*K1
5,1,K0-K1-K2/K3
3,4,K1+K0-K3*K2
5,2,K0/K1+K2/K3
4,2,K0-K3-K1*K2
6,1,K0/K1-K2/K3
3,4,K1*K0-K2*K3
8,1,K1/K2*K0-K3
5,2,K0/K1+K2/K3
2,8,K1*K0+K3*K2
4,2,K0-K2*K1/K3
1,6,K0-K2*K3*K1
4,2,K3+K0/K1/K2
5,2,K0-K1/K3/K2
4,2,K3+K0/K2/K1
3,2,K0-K3+K1*K2
4,1,K0-K1+K2/K3
7,4,K3-K1-K2+K0
7,24,K0+K3+K1+K2
7,1,K0-K1+K2/K3
4,2,K0+K1*K2/K3
3,4,K1*K0-K3*K2
6,1,K0/K1-K2/K3
3,2,K0-K3-K2*K1
5,1,K0-K1+K2/K3
9,1,K0/K1-K2-K3
2,4,K2+K3+K1*K0
3,4,K2+K3+K0*K1
5,2,K0+K1/K2/K3
4,2,K0/K1/K3/K2
7,2,K0-K1/K2+K3
6,1,K3-K2+K0/K1
3,2,K0-K3-K1*K2
4,2,K3+K0/K1/K2
6,2,K0-K3+K2*K1
3,2,K2/K3+K1*K0
2,1,K3+K0/K2*K1
3,2,K0-K1+K3*K2
3,2,K2/K3+K1*K0
3,4,K3+K2+K1*K0
5,2,K0+K1/K3/K2
2,1,K0/K1/K2*K3
6,2,K0+K1-K2/K3
5,2,K3+K0+K1/K2
