Time,Solutions,Best Solution
29,4,K0+-K1+-K2+K3
17,6,K0+-K2+K1+K3
3,1,K0/K1/K2*K3
2,1,K1/K2*K0*K3
2,1,K0/K1*K2*K3
4,6,K3+K0*K1*K2
4,1,K0+-K1/K2*K3
4,2,K0/K1+K2*K3
15,6,K0+-K3+K1+K2
6,4,K0*K1+-K2*K3
4,2,K2/K3+K0*K1
5,4,K0*K1+-K2*K3
3,1,K0+K1/K2*K3
12,2,K0+-K1/K2+K3
3,2,K2+-K3+K0*K1
2,1,K0+-K1/K2*K3
5,2,K0+K3+K1/K2
5,2,K0*K1+-K2/K3
3,2,K2+-K3+K0*K1
10,4,K0+-K1+-K3+K2
7,1,K0/K1+-K2+K3
3,3,K0/K1*K2/K3
4,2,K3+K0/K1/K2
7,1,K0/K1+-K2+K3
2,2,K2/K3+K0*K1
4,1,K0/K1+-K2/K3
2,4,K0*K1+-K2*K3
5,1,K0+-K1+-K2/K3
6,6,K0+-K3+K1+K2
468,7,K0+-K1/K2+-K0/K0*K3
1,24,K0*K1*K2*K3
2,2,K2+-K3+K0*K1
3,1,K0/K1*K2/K3
7,1,K0/K1+-K2+K3
2,1,K3+K0/K2*K1
7,2,K0*K1/K2+-K3
1,2,K1/K3*K2*K0
7,2,K0/K1+-K2+-K3
7,1,K0/K2*K1+-K3
2,4,K0*K1+-K2*K3
3,2,K0+-K1+-K2*K3
5,2,K0+K1+-K2/K3
2,4,K0+K1+K2*K3
1,6,K0+K1*K2*K3
7,4,K0*K1+-K2+-K3
2,8,K0*K1+K2*K3
6,1,K0+-K1/K2+K3
4,2,K0/K1/K2/K3
1,24,K0*K1*K2*K3
6,1,K0/K1+-K2+K3
2,4,K0+K1+K2*K3
1,1,K0/K3/K1*K2
1,24,K0*K1*K2*K3
8,4,K0*K1+-K2+-K3
4,1,K0/K1+-K2/K3
4,1,K0/K1+-K2/K3
1,6,K0+K1*K2*K3
5,1,K0+-K1+-K2/K3
3,4,K0+K1+-K2*K3
3,2,K0/K1+K2/K3
4,2,K0+-K3+-K1*K2
5,1,K0/K1+-K2/K3
2,4,K0*K1+-K2*K3
7,1,K1/K2*K0+-K3
4,2,K0/K1+K2/K3
2,8,K0*K1+K2*K3
4,2,K0+-K1*K2/K3
1,6,K0+-K1*K2*K3
4,2,K3+K0/K1/K2
4,2,K0+-K1/K2/K3
4,2,K3+K0/K1/K2
2,2,K0+-K3+K1*K2
4,1,K0+-K1+K2/K3
7,4,K0+-K1+-K2+K3
6,24,K0+K1+K2+K3
5,1,K0+-K1+K2/K3
2,2,K0+K1*K2/K3
2,4,K0*K1+-K2*K3
4,1,K0/K1+-K2/K3
3,2,K0+-K3+-K1*K2
4,1,K0+-K1+K2/K3
7,1,K0/K1+-K2+-K3
3,4,K2+K3+K0*K1
2,4,K2+K3+K0*K1
4,2,K0+K1/K2/K3
4,2,K0/K1/K2/K3
5,2,K0+-K1/K2+K3
4,1,K3+-K2+K0/K1
2,2,K0+-K3+-K1*K2
4,2,K3+K0/K1/K2
3,2,K0+-K3+K1*K2
2,2,K2/K3+K0*K1
2,1,K3+K0/K2*K1
2,2,K0+-K1+K2*K3
2,2,K2/K3+K0*K1
2,4,K2+K3+K0*K1
4,2,K0+K1/K2/K3
1,1,K0/K1/K2*K3
5,2,K0+K1+-K2/K3
4,2,K0+K3+K1/K2
