length: 2.0,length: 3.0,length: 4.0,length: 5.0,length: 6.0,length: 7.0,length: 8.0,length: 9.0,length: 10.0,length: 11.0
3,1,1,4,118,4107,5218,5442,5094,5207
2,0,2,13,232,4642,5190,5280,5117,5181
2,1,1,5,141,4080,5159,5351,5108,5200
1,1,2,6,32,5108,5244,5408,5066,5196
2,1,1,5,138,5074,5245,5452,5123,5170
2,0,0,3,35,2219,5295,5135,5127,5169
2,0,1,4,185,4645,5231,5274,5098,5206
1,0,1,7,77,2923,5194,5368,5108,5181
1,1,0,7,84,2290,5191,5211,5069,5207
1,0,1,1,77,5101,5225,5134,5124,4102
1,0,1,2,106,5102,5202,5272,5108,5179
1,0,2,2,315,2455,5072,5499,5060,5190
1,0,1,2,42,4562,5181,5455,5046,4397
1,0,1,6,130,5065,4722,5281,5118,5193
0,0,2,2,46,5075,5292,5136,5089,5167
0,1,1,1,255,5099,5234,5335,5051,5145
0,0,2,2,86,5124,4213,5579,5097,5230
1,0,2,0,372,4089,5219,5403,5068,5204
0,0,2,6,74,5125,5211,5147,5070,5185
0,0,2,30,310,2140,5146,5372,5049,5134
0,0,0,2,316,2131,5236,5334,5105,5153
0,0,1,1,109,5154,5206,5314,5113,5142
0,0,1,5,75,4884,5246,5138,5074,5184
0,0,2,2,86,5107,5202,5193,5081,5228
1,0,1,7,73,5165,5094,5370,5074,5132
1,1,2,32,371,2419,5269,5171,5096,5152
1,0,1,2,54,5165,5230,5350,5096,5079
0,0,2,6,97,5079,5212,5118,5127,5179
0,0,0,1,104,5091,5143,5383,5082,5183
0,0,0,7,113,2414,5206,5240,5055,5222
0,0,1,3,40,2431,4169,5070,5085,5187
0,0,0,36,319,5115,5302,5131,5098,5228
0,0,0,1,123,1311,5245,5429,5109,4363
1,1,0,3,26,5154,5233,5356,5119,5138
0,1,0,2,119,5088,5190,5112,5095,5156
1,0,0,4,163,5082,5193,5161,5113,5148
0,0,0,2,345,1892,5244,5493,5052,5162
0,0,1,2,83,5098,4797,4905,5102,5113
0,0,0,9,70,4124,5165,5235,5071,4051
1,1,1,2,99,1329,5223,5200,5084,5185
0,0,0,3,105,1436,5072,5153,5104,5092
0,0,1,4,307,2917,5137,5081,5073,5188
0,1,1,6,79,5086,5326,5372,5113,5179
0,1,0,2,83,4593,5115,5134,5089,5173
1,0,0,6,96,5121,5405,5282,5099,5180
0,0,1,1,109,2482,4208,5209,5066,5252
1,0,0,3,131,5110,5277,5181,5082,5151
0,1,0,2,68,4244,5089,5125,5035,5150
1,1,1,4,237,5107,5272,5278,5064,5184
0,0,1,7,136,2438,5247,5135,5098,5187
1,0,1,8,302,4675,5228,5211,5097,5149
0,0,0,2,317,5110,5181,5126,5101,5139
1,0,0,4,120,2880,5183,5146,5107,4181
1,0,1,2,120,2510,5176,5296,5106,4359
1,0,0,2,68,5096,5166,5157,5085,5219
0,1,0,8,84,5082,5169,5098,5084,5161
0,1,1,3,120,5082,5242,5192,5052,5199
0,1,0,2,97,5162,5199,4070,5075,5162
0,1,0,6,43,5117,5234,5489,5082,5204
0,1,0,2,119,4526,4193,5163,5053,5127
0,0,1,7,30,4665,5306,5268,5118,5130
0,0,0,2,313,2793,5224,5129,5084,5236
1,1,1,2,23,2357,5204,5432,5121,5268
1,1,0,33,135,5080,5264,4072,5089,5155
0,0,1,2,1328,2840,5136,5156,5060,5174
0,0,1,2,46,1288,4418,5089,5062,5165
0,1,1,4,189,2502,5180,5211,5120,5195
0,0,1,1,99,5140,4202,5222,5118,4182
0,0,1,0,123,5108,5239,5072,5123,5211
0,0,1,2,337,2811,5231,5319,5075,5189
0,1,1,2,95,3962,5229,5336,5103,5183
0,1,1,2,181,5084,5107,5320,5148,5199
0,0,1,8,336,5111,4246,5337,5112,1
0,0,1,3,36,5120,5173,5298,5086,5246
0,0,1,1,121,2251,5114,5087,5077,5184
0,0,0,6,39,5058,4583,5162,5083,5231
0,1,0,2,337,5102,5177,5176,5130,5216
0,1,0,1,311,2593,5204,5378,5084,5171
1,0,1,2,112,5081,5192,5350,5095,5144
1,0,0,2,83,2163,5192,5175,5055,5131
1,0,1,3,23,5083,5125,5324,5113,5107
0,0,0,3,84,5151,5148,5281,5123,5122
0,0,0,1,41,5086,5200,5349,5131,5192
1,0,0,2,117,5062,5280,5311,5088,4064
1,1,1,1,339,2382,5243,5330,5109,5220
0,0,1,4,37,4849,5121,5107,5112,5099
0,1,0,6,373,5086,5174,4280,5080,5192
0,1,0,2,123,5112,5184,4058,5071,5235
0,0,1,2,124,2122,5176,5447,5136,5185
0,0,0,3,51,2062,5201,5332,5087,5151
1,1,1,6,332,4363,5194,4067,5115,5115
0,0,1,8,360,5116,5223,5367,5066,5163
0,0,0,7,84,5132,4224,5203,5076,5145
0,1,0,7,102,5107,5061,5370,5120,5206
0,0,0,3,97,5138,5299,5106,5059,5214
0,0,0,2,113,5089,5211,5143,5085,5184
1,1,0,1,320,5135,5202,4059,5037,5156
0,1,0,1,127,5113,5211,5124,5094,5188
0,0,0,2,130,5104,5223,5170,5076,5161
0,1,0,7,68,2354,4523,5259,5091,5191
