noWeights,primeWeights,twoWeights,tenWeights,,,,,,
0,0,0,7,,,,,,
0,0,0,10,,#0,192,13,123,0
0,0,0,12,,Oplossingsgraad,0.616,0.974,0.754,1
0,0,0,12,,Gem #opl,9.712,592.8,195.596,1958.556
0,0,0,17,,,,,,
0,0,0,17,,,,,,
0,0,0,21,,,,,,
0,0,0,21,,,,,,
0,0,0,24,,,,,,
0,0,0,24,,,,,,
0,0,0,26,,,,,,
0,0,0,27,,,,,,
0,0,0,27,,,,,,
0,1,0,29,,,,,,
0,1,0,30,,,,,,
0,2,0,31,,,,,,
0,2,0,31,,,,,,
0,2,0,32,,,,,,
0,2,0,32,,,,,,
0,2,0,32,,,,,,
0,3,0,34,,,,,,
0,3,0,34,,,,,,
0,4,0,35,,,,,,
0,4,0,36,,,,,,
0,4,0,37,,,,,,
0,6,0,38,,,,,,
0,8,0,38,,,,,,
0,8,0,39,,,,,,
0,8,0,40,,,,,,
0,8,0,40,,,,,,
0,8,0,40,,,,,,
0,8,0,40,,,,,,
0,8,0,40,,,,,,
0,10,0,40,,,,,,
0,10,0,42,,,,,,
0,10,0,43,,,,,,
0,12,0,44,,,,,,
0,12,0,46,,,,,,
0,12,0,49,,,,,,
0,12,0,49,,,,,,
0,12,0,50,,,,,,
0,12,0,50,,,,,,
0,13,0,50,,,,,,
0,14,0,52,,,,,,
0,14,0,53,,,,,,
0,16,0,54,,,,,,
0,16,0,54,,,,,,
0,16,0,55,,,,,,
0,16,0,55,,,,,,
0,16,0,56,,,,,,
0,16,0,56,,,,,,
0,17,0,57,,,,,,
0,18,0,58,,,,,,
0,18,0,60,,,,,,
0,18,0,62,,,,,,
0,18,0,62,,,,,,
0,20,0,62,,,,,,
0,20,0,62,,,,,,
0,20,0,64,,,,,,
0,20,0,64,,,,,,
0,21,0,64,,,,,,
0,21,0,64,,,,,,
0,21,0,64,,,,,,
0,23,0,64,,,,,,
0,23,0,64,,,,,,
0,23,0,68,,,,,,
0,24,0,68,,,,,,
0,24,0,68,,,,,,
0,24,0,68,,,,,,
0,24,0,68,,,,,,
0,24,0,68,,,,,,
0,24,0,68,,,,,,
0,25,0,68,,,,,,
0,25,0,68,,,,,,
0,26,0,71,,,,,,
0,26,0,74,,,,,,
0,26,0,74,,,,,,
0,26,0,74,,,,,,
0,27,0,74,,,,,,
0,27,0,74,,,,,,
0,27,0,74,,,,,,
0,27,0,74,,,,,,
0,27,0,74,,,,,,
0,27,0,78,,,,,,
0,28,0,80,,,,,,
0,28,0,80,,,,,,
0,28,0,80,,,,,,
0,28,0,80,,,,,,
0,30,0,80,,,,,,
0,32,0,80,,,,,,
0,32,0,80,,,,,,
0,32,0,80,,,,,,
0,33,0,80,,,,,,
0,33,0,80,,,,,,
0,33,0,83,,,,,,
0,35,0,86,,,,,,
0,36,0,87,,,,,,
0,36,0,88,,,,,,
0,36,0,90,,,,,,
0,36,0,90,,,,,,
0,36,0,90,,,,,,
0,36,0,93,,,,,,
0,36,0,95,,,,,,
0,36,0,95,,,,,,
0,36,0,95,,,,,,
0,37,0,95,,,,,,
0,37,0,96,,,,,,
0,38,0,98,,,,,,
0,38,0,98,,,,,,
0,40,0,98,,,,,,
0,42,0,98,,,,,,
0,42,0,100,,,,,,
0,42,0,101,,,,,,
0,42,0,102,,,,,,
0,43,0,102,,,,,,
0,43,0,102,,,,,,
0,43,0,102,,,,,,
0,43,0,102,,,,,,
0,46,0,102,,,,,,
0,46,0,104,,,,,,
0,46,0,104,,,,,,
0,46,0,104,,,,,,
0,46,0,104,,,,,,
0,46,1,105,,,,,,
0,46,1,106,,,,,,
0,46,1,108,,,,,,
0,46,1,112,,,,,,
0,48,2,112,,,,,,
0,48,3,114,,,,,,
0,48,3,115,,,,,,
0,48,4,115,,,,,,
0,48,4,115,,,,,,
0,48,4,116,,,,,,
0,48,4,116,,,,,,
0,49,4,116,,,,,,
0,50,6,116,,,,,,
0,50,8,116,,,,,,
0,50,8,118,,,,,,
0,50,8,120,,,,,,
0,50,8,120,,,,,,
0,50,8,120,,,,,,
0,50,10,120,,,,,,
0,50,11,120,,,,,,
0,52,11,120,,,,,,
0,52,11,123,,,,,,
0,52,12,124,,,,,,
0,52,12,124,,,,,,
0,52,12,126,,,,,,
0,52,12,126,,,,,,
0,52,12,126,,,,,,
0,52,12,126,,,,,,
0,54,12,128,,,,,,
0,54,12,128,,,,,,
0,54,12,128,,,,,,
0,54,12,132,,,,,,
0,54,12,132,,,,,,
0,54,12,133,,,,,,
0,54,13,136,,,,,,
0,54,13,136,,,,,,
0,56,14,136,,,,,,
0,56,14,136,,,,,,
0,56,14,136,,,,,,
0,58,14,136,,,,,,
0,58,14,136,,,,,,
0,60,14,138,,,,,,
0,60,14,140,,,,,,
0,60,14,140,,,,,,
0,60,14,140,,,,,,
0,60,14,140,,,,,,
0,62,15,140,,,,,,
0,62,16,142,,,,,,
0,62,16,142,,,,,,
0,62,16,144,,,,,,
0,62,17,144,,,,,,
0,62,17,144,,,,,,
0,63,18,146,,,,,,
0,64,18,148,,,,,,
0,64,18,148,,,,,,
0,64,18,148,,,,,,
0,64,19,148,,,,,,
0,64,19,148,,,,,,
0,64,20,148,,,,,,
