noWeights,primeWeights,twoWeights,tenWeights
0,9,0,64
48,2970,1109,7208
0,92,46,207
2,50,26,74
0,80,20,280
0,12,0,54
0,48,0,202
187,5085,1478,20515
4,192,96,320
0,24,0,122
3,231,113,389
12,842,286,2564
41,2792,1020,6961
19,1356,539,3282
16,260,120,524
0,186,93,461
0,2,0,16
2,50,26,74
76,660,314,1185
12,388,196,660
10,819,321,1784
54,4064,1534,9922
97,736,354,1327
8,184,96,272
12,388,196,660
0,236,56,782
0,26,0,56
0,354,62,1693
4,100,52,148
0,364,137,5938
0,36,0,164
2,46,24,68
0,0,0,60
0,16,8,24
0,18,0,128
0,52,0,104
6,138,72,204
1,23,12,34
4,108,56,160
0,12,0,29
1,33,17,49
6,580,206,1620
4,108,56,160
22,1330,539,3155
6,138,72,204
0,12,0,50
3,65,34,96
4,92,48,136
4,92,48,136
0,12,6,50
0,52,0,206
0,80,16,292
1,43,22,64
28,2502,944,6077
54,4068,1534,9932
6,1560,574,4040
0,84,36,168
1,33,16,50
0,4,0,38
0,166,14,512
0,1140,1,10810
20,208,64,400
4,104,54,154
0,36,0,128
0,276,42,726
49,2972,1120,7227
0,60,0,240
0,4073,116,28720
2,54,28,80
0,3,0,27
0,12,0,156
0,0,0,180
20,1082,431,2517
4,92,48,136
12,196,94,374
2,64,33,95
2,104,52,172
0,52,0,120
8,208,108,308
1,27,14,40
6,1560,574,4040
0,84,36,168
4,104,54,154
35,3295,567,13314
0,8,0,18
6,138,72,204
0,16,0,122
0,16,0,130
4,100,52,148
6,138,72,204
0,3227,35,27172
0,12,6,82
0,16,8,24
0,10,5,15
1,33,16,50
0,20,0,96
0,4,0,21
5,491,189,1077
0,24,12,164
3,231,113,389
